Ticker,Model,Correlation
AAPL,HAR,0.03692926708055405
AAPL,HAR + Sentiment,0.03692926708055405
AAPL,XGBoost,0.05846622117951868
AAPL,XGBoost + Sentiment,0.05846622117951868
MSFT,HAR,-0.004408316049000778
MSFT,HAR + Sentiment,-0.004408316049000778
MSFT,XGBoost,-0.04287894450168866
MSFT,XGBoost + Sentiment,-0.04287894450168866
NVDA,HAR,0.21427245824096738
NVDA,HAR + Sentiment,0.21427245824096738
NVDA,XGBoost,0.155229007875665
NVDA,XGBoost + Sentiment,0.155229007875665
TSLA,HAR,0.03778182214205456
TSLA,HAR + Sentiment,0.03778182214205456
TSLA,XGBoost,0.07655015184293065
TSLA,XGBoost + Sentiment,0.07655015184293065
