ticker,model,sentiment_trained,rmse,mae,mape,r2,directional_accuracy,qlike
AAPL,HAR,False,0.1576832647297435,0.1172420434381592,6647649.953278985,-0.0691679077484304,0.4427480916030534,-0.8020529218563472
AAPL,HAR+Sentiment,True,0.1613096924994366,0.1209812217325688,5542567.288729624,-0.1189112353946593,0.4122137404580153,-0.7815205954418192
AAPL,XGB,False,0.175182791261081,0.1319906318868894,4726823.71864649,-0.3196464441449169,0.5,671.9323010457172
AAPL,XGB+Sentiment,True,0.1818815721437514,0.131696282879882,7336180.554532262,-0.4224994499702081,0.4618320610687023,356.22311355832824
MSFT,HAR,False,0.1401614938779331,0.1061587133627235,304.2742576171956,-0.1391100483974627,0.3778625954198473,-0.8814165024339699
MSFT,HAR+Sentiment,True,0.1424851619784868,0.1080513007165522,310.4431201507322,-0.1771926136612058,0.3625954198473282,-0.8514924122324904
MSFT,XGB,False,0.1653933925993792,0.1265864218594626,344.2223225407435,-0.5861511079117785,0.4809160305343511,1198.8847700850924
MSFT,XGB+Sentiment,True,0.1538683386324102,0.117307794105034,333.2623117034142,-0.372798439206625,0.4503816793893129,608.8348576921568
TSLA,HAR,False,0.4313249084038403,0.2964843119641207,397.42874516400593,-0.0242890980668235,0.3969465648854962,0.20140455545017627
TSLA,HAR+Sentiment,True,0.4351163498372016,0.2993107462732818,389.85187426565534,-0.0423756986953658,0.4541984732824427,0.21385599198918145
TSLA,XGB,False,0.4776431148140276,0.3444883761369152,497.9217678296364,-0.2560893010644913,0.5305343511450382,5487.969829011138
TSLA,XGB+Sentiment,True,0.4710786096110604,0.3413830516211233,447.9637442074889,-0.2218003408907243,0.5076335877862596,2151.543934885752
NVDA,HAR,False,0.3357015705120285,0.2472223686528201,8887224.077583095,0.0389973576290476,0.4007633587786259,0.03142514243212029
NVDA,HAR+Sentiment,True,0.3393862367626899,0.250352304399601,10186637.849987453,0.0177856195147716,0.4580152671755725,0.04309369001015315
NVDA,XGB,False,0.3737329929354887,0.2837757752364729,7394123.507636288,-0.1910793997834361,0.5343511450381679,456.9734665799612
NVDA,XGB+Sentiment,True,0.3683413634415264,0.2727018185377204,3843439.459187347,-0.1569612634530168,0.5381679389312977,0.28062392595968255
