Feature,Importance
abs_return,0.1816909553309526
rv_t,0.17481030981746984
rv_weekly,0.1687571939998082
rv_monthly,0.13632719904735904
rv_3day_std,0.13294716651608596
overnight_return,0.08745772450501668
rv_2day_std,0.05026890250857331
realized_quarticity,0.04556420616212241
rv_t_minus1,0.012941098418168774
rv_daily,0.009235243694443184
mean_sentiment,0.0
rolling_sentiment_std,0.0
neutral_count,0.0
positive_count,0.0
negative_count,0.0
rolling_sentiment_mean,0.0
sentiment_shock,0.0
std_sentiment,0.0
