date,actual_volatility,har_forecast,har_sentiment_forecast,har_log_forecast,xgb_forecast,xgb_sentiment_forecast
2023-12-14,0.1763129800693099,0.27365514568358035,0.4890657552753839,0.1706461392392489,0.3366299811941619,0.3366299811941619
2023-12-15,0.38081277602500396,0.268904398764256,0.5618431423411507,0.16401424743442153,0.15889385724471944,0.15889385724471944
2023-12-18,0.15065442387527025,0.2709298139633006,0.7330536591452068,0.16787008424550443,0.20679814344494685,0.20679814344494685
2023-12-19,0.4851350410709955,0.277605778560934,0.5446222095580439,0.17486633338436272,0.18208980606057232,0.18208980606057232
2023-12-20,0.2874141154749853,0.2969209310873836,0.8191588907501951,0.1664077315353259,0.20999066711209677,0.20999066711209677
2023-12-21,0.05193050522012297,0.3009151430721663,0.6639906590317122,0.19134678025423216,0.24211342498327723,0.24211342498327723
2023-12-22,0.14530092009524065,0.2874547994196999,0.4647481855337448,0.17958762640821924,0.34119655804326166,0.34119655804326166
2023-12-26,0.04439270656165182,0.2731794924645245,0.5365863045881794,0.16931416138906738,0.41762489231999206,0.41762489231999206
2023-12-27,0.033693825464927565,0.2537739487157295,0.45031648014783165,0.16361730129517715,0.1876337308111306,0.1876337308111306
2023-12-28,0.0,0.23283160144473342,0.43635232741900754,0.15062101202199196,0.15310085244046315,0.15310085244046315
2023-12-29,0.44007497050482003,0.20440167768259937,0.4024378851339777,0.1045060885080652,0.308815184141789,0.308815184141789
2024-01-02,0.19864710278726347,0.23718747746235425,0.7688906881738571,0.08439908144966732,0.4451736556495535,0.4451736556495535
2024-01-03,0.14252248346291113,0.2490688868685989,0.5781934782932798,0.1715581261941082,0.10323382102182435,0.10323382102182435
2024-01-04,0.3593761474128868,0.2329561502998308,0.5273293527531187,0.16143113035894632,0.21892933794441966,0.21892933794441966
2024-01-05,0.9889713359608094,0.25783483480265357,0.7120641462854369,0.16508702440774678,0.2196181711476941,0.2196181711476941
2024-01-08,0.26721011292727015,0.2779732155809637,1.2491257454044746,0.1842284405334314,0.37073057873323345,0.37073057873323345
2024-01-09,0.35740909403958265,0.3758012377819383,0.668169977699034,0.23425757842312261,0.42916579394292637,0.42916579394292637
2024-01-10,0.13726626860233265,0.31804440990079386,0.7244493202797109,0.21855973848035798,0.2814323758787799,0.2814323758787799
2024-01-11,0.03246426226321984,0.3480833478254149,0.5493295756756718,0.21671526633519117,0.35214583753946505,0.35214583753946505
2024-01-12,0.4778777196676194,0.3018188229878504,0.451522858302,0.19700483570593524,0.1308947009992308,0.1308947009992308
2024-01-16,0.09290176832832059,0.3120405081196826,0.8218129226020991,0.19536947355186696,0.46649928143426733,0.46649928143426733
2024-01-17,0.29572584301440813,0.27455171041038756,0.49752918884195996,0.19225845610376144,0.13395731276477027,0.13395731276477027
2024-01-18,0.6492417462862163,0.2578491113567191,0.49752918884195996,0.18093147702138646,0.3122442643322013,0.3122442643322013
2024-01-19,0.04343476946425807,0.2872601650914442,0.9621675344656144,0.1948066943322514,0.1803690577599621,0.1803690577599621
