ticker,model,rmse,mae,mape,r2,directional_accuracy,qlike
AAPL,HAR_log1p,0.15528908268753108,0.11422196249643153,6459920.195444082,-0.03694699458711859,0.4312977099236641,-0.8095351885538745
AAPL,HAR+Sent_log1p,0.15528908268753108,0.11422196249643153,6459920.195444082,-0.03694699458711859,0.4312977099236641,-0.8095351885538745
AAPL,HAR_LogVar,15.713328889543837,15.712588879997876,605935735.1068746,-10616.227162006424,0.003816793893129771,2.774914481151609
AAPL,XGB_log1p,0.16293979814238777,0.11854672978597194,6051529.16014332,-0.14163968236565694,0.48091603053435117,-0.7436435298417472
AAPL,XGB+Sent_log1p,0.16293979814238777,0.11854672978597194,6051529.16014332,-0.14163968236565694,0.48091603053435117,-0.7436435298417472
MSFT,HAR_log1p,0.13630162334736712,0.10271115205235654,291.12006998601163,-0.0772346247133251,0.38549618320610685,-0.8959314926103971
MSFT,HAR+Sent_log1p,0.13630162334736712,0.10271115205235654,291.12006998601163,-0.0772346247133251,0.38549618320610685,-0.8959314926103971
MSFT,HAR_LogVar,15.728057520396879,15.727509250706593,36596.60644994355,-14342.608573197942,0.003816793893129771,2.7739745861405347
MSFT,XGB_log1p,0.14807262867250162,0.11178171102658724,314.6812235643708,-0.27132860912205037,0.46564885496183206,-0.839227572102524
MSFT,XGB+Sent_log1p,0.14807262867250162,0.11178171102658724,314.6812235643708,-0.27132860912205037,0.46564885496183206,-0.839227572102524
TSLA,HAR_log1p,0.4320869723481494,0.2874794922040907,348.11011366264324,-0.027911719125946144,0.40458015267175573,0.20948133736443322
TSLA,HAR+Sent_log1p,0.4320869723481494,0.2874794922040907,348.11011366264324,-0.027911719125946144,0.40458015267175573,0.20948133736443322
TSLA,HAR_LogVar,15.435072740506355,15.429187954855884,15862.533392418769,-1310.688871208892,0.003816793893129771,2.7927670613694753
TSLA,XGB_log1p,0.44901663654154184,0.31558404422632097,407.7149460823095,-0.11003925577351303,0.5190839694656488,0.2783195506431482
TSLA,XGB+Sent_log1p,0.44901663654154184,0.31558404422632097,407.7149460823095,-0.11003925577351303,0.5190839694656488,0.2783195506431482
NVDA,HAR_log1p,0.33680478733834723,0.2428549726457438,8611130.244674029,0.03267068871884371,0.42748091603053434,0.03596883015399851
NVDA,HAR+Sent_log1p,0.33680478733834723,0.2428549726457438,8611130.244674029,0.03267068871884371,0.42748091603053434,0.03596883015399851
NVDA,HAR_LogVar,15.49320089310586,15.489415908926206,605922632.1749898,-2045.9165630449636,0.003816793893129771,2.7889730568851108
NVDA,XGB_log1p,0.35743416502745484,0.2612072896002348,5654683.110703881,-0.08945666317753553,0.48854961832061067,0.14241260606928158
NVDA,XGB+Sent_log1p,0.35743416502745484,0.2612072896002348,5654683.110703881,-0.08945666317753553,0.48854961832061067,0.14241260606928158
